CVE,In 2.0?,In 2.2?,In 2.4?,Fix Churn +,Fix Churn -,CWE,In CWE Top 25?,CVSS,Confidentiality,Integrity,Availability,AccessComplexity,AuthRequired,GainedAccess
CVE-2013-2249,,,yes,,,,,,,,,,,
CVE-2012-3502,,,yes,,,,,,,,,,,
CVE-2013-1862,yes,yes,,,,,,,,,,,,
CVE-2013-1896,,yes,yes,,,,,,,,,,,
CVE-2012-3499,,yes,yes,,,,,,,,,,,
CVE-2012-4558,,yes,yes,,,,,,,,,,,
CVE-2012-2687,,yes,,,,,,,,,,,,
CVE-2011-3607,yes,,,,,,,,,,,,,
CVE-2012-0883,,,Yes,5,1,264,No,6.9,Complete ,Complete ,Complete ,Medium ,Not required ,None
CVE-2012-0053,,Yes,,31,12,264,No,4.3,Partial ,None ,None ,Medium ,Not required ,None
CVE-2012-0031,,Yes,,4,4,399,No,4.6,Partial ,Partial ,Partial ,Low ,Not required ,None
CVE-2012-0021,,Yes,,12,10,20,No,2.6,None ,None ,Partial ,High ,Not required ,None
CVE-2011-4317,,Yes,,8,11,20,No,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2011-3368,Yes,Yes,,11,0,20,No,5,Partial ,None ,None ,Low ,Not required ,None
CVE-2011-3348,,Yes,,4,2,399,No,4.3,None ,None ,Partial ,Medium ,Not required ,None
CVE-2011-3192,Yes,Yes,,268,121,399,No,7.8,None ,None ,Complete ,Low ,Not required ,None
CVE-2011-0419,Yes,Yes,,201,5,399,No,4.3,None ,None ,Partial ,Medium ,Not required ,None
CVE-2010-2791,,Yes,,31,4,200,No,5,Partial ,None ,None ,Low ,Not required ,None
CVE-2010-2068,,Yes,,3,2,200,No,5,Partial ,None ,None ,Low ,Not required ,None
CVE-2010-1623,Yes,Yes,,31,1,119,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2010-1452,Yes,Yes,,2,1,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2010-0434,Yes,Yes,,3,6,200,No,4.3,Partial ,None ,None ,Medium ,Not required ,None
CVE-2010-0425,Yes,Yes,,0,2,Not Defined,No,10,Complete ,Complete ,Complete ,Low ,Not required ,None
CVE-2010-0408,,Yes,,1,1,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2009-3720,Yes,Yes,,0,0,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2009-3560,Yes,Yes,,0,0,119,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2009-3095,Yes,Yes,,5,0,264,No,7.5,Partial ,Partial ,Partial ,Low ,Not required ,None
CVE-2009-3094,Yes,Yes,,21,24,Not Defined,No,2.6,None ,None ,Partial ,High ,Not required ,None
CVE-2009-2699,,Yes,,45,50,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2009-2412,Yes,Yes,,0,0,189,No,10,Complete ,Complete ,Complete ,High ,Not required ,Admin
CVE-2009-1956,,,,0,0,189,No,,,,,,,
CVE-2009-1955,,,,0,0,399,No,,,,,,,
CVE-2009-1891,Yes,Yes,,5,0,399,No,7.1,None ,None ,Complete ,Medium ,Not required ,None
CVE-2009-1890,,Yes,,14,5,189,No,7.1,None ,None ,Complete ,Medium ,Not required ,None
CVE-2009-1195,,Yes,,14,14,16,No,4.9,None ,None ,Complete ,Low ,Not required ,None
CVE-2009-1191,,Yes,,2,12,20,No,5,Partial ,None ,None ,Low ,Not required ,None
CVE-2009-0023,,,,0,0,119,No,,,,,,,
CVE-2008-2939,Yes,Yes,,1,0,79,Yes,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2008-2364,Yes,Yes,,18,4,399,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2008-0005,Yes,Yes,,5,5,79,Yes,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2007-6422,,Yes,,41,7,399,No,4,None ,None ,Partial ,Low ,Single system ,None
CVE-2007-6421,,Yes,,8,4,79,Yes,3.5,None ,Partial ,None ,Medium ,Single system ,None
CVE-2007-6388,Yes,Yes,,11,12,79,Yes,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2007-5000,Yes,Yes,,7,4,79,Yes,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2007-3847,Yes,Yes,,17,61,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2007-3304,Yes,Yes,,110,22,Not Defined,No,4.7,None ,None ,Complete ,Medium ,Not required ,None
CVE-2007-1863,Yes,Yes,,17,5,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2007-1862,,Yes,,17,4,Not Defined,No,5,Partial ,None ,None ,Low ,Not required ,None
CVE-2006-5752,Yes,Yes,,6,4,Not Defined,No,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2006-3747,Yes,Yes,,1,1,189,No,7.6,Complete ,Complete ,Complete ,High ,Not required ,Admin
CVE-2005-3357,Yes,Yes,,1,1,399,No,5.4,None ,None ,Complete ,High ,Not required ,None
CVE-2005-3352,Yes,Yes,,7,1,Not Defined,No,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2005-2970,Yes,Yes,,5,0,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2005-2728,Yes,,,13,11,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
CVE-2005-2700,Yes,,,2,2,Not Defined,No,10,Complete ,Complete ,Complete ,Low ,Not required ,None
CVE-2005-2491,Yes,,,0,0,Not Defined,No,7.5,Partial ,Partial ,Partial ,Low ,Not required ,User
CVE-2005-2088,Yes,,,9,0,Not Defined,No,4.3,None ,Partial ,None ,Medium ,Not required ,None
CVE-2005-1268,Yes,,,1,1,Not Defined,No,5,None ,None ,Partial ,Low ,Not required ,None
