"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Priority","Severity","Reporter","URL","Version","Keywords"
22,"Apache httpd-2","All","bugs","CLOSED","WONTFIX","Need hooks for user-defined error handling","2004-11-23 16:47:00","P5","enhancement","greenrd",,"2.0-HEAD",
7415,"Apache httpd-2","All","bugs","CLOSED","FIXED","VHOST parsing broken for IPv6","2004-11-16 19:05:38","P3","normal","ncbp",,"2.0.32",
7441,"Apache httpd-2","Core","bugs","CLOSED","FIXED","RFC 2616 - Apache incorrectly expects a non-empty Host header","2004-11-16 19:05:38","P3","critical","dinesh.patel",,"2.0-HEAD",
7483,"Apache httpd-2","mod_actions","bugs","RESOLVED","WONTFIX","Add FileAction directive to assign a cgi interpreter other than using registry or shebang?","2015-12-28 11:02:00","P3","enhancement","netdemon",,"2.0-HEAD",
7523,"Apache httpd-2","Other Modules","bugs","CLOSED","WORKSFORME","build error: shlibtool error when compiling shared modules, bad -rpath value","2004-11-16 19:05:38","P3","normal","tgerkSF",,"2.0.32",
7617,"Apache httpd-2","mod_cgi","bugs","CLOSED","FIXED","Apache race condition causes gratuitous 3-second CGI delay","2004-11-16 19:05:38","P3","normal","andrew",,"2.0.43",
7635,"Apache httpd-2","Core","bugs","CLOSED","DUPLICATE","httpd segfaults when restarting after adding a virtual host","2004-11-16 19:05:38","P3","major","dnewman",,"2.0.36",
7642,"Apache httpd-2","All","bugs","CLOSED","FIXED","getnameinfo() not found when lookup on 127.0.0.1 fails","2004-11-16 19:05:38","P3","major","dawszy",,"2.0.32",
7699,"Apache httpd-2","All","bugs","CLOSED","FIXED","SSI's only work when directly linked.","2004-11-16 19:05:38","P3","normal","phar0e",,"2.0.32",
7738,"Apache httpd-2","Other Modules","bugs","CLOSED","DUPLICATE","Server-side includes do not get interpreted for DirectoryIndex files","2004-11-16 19:05:39","P3","normal","ryep",,"2.0.32",
7741,"Apache httpd-2","Documentation","docs","RESOLVED","FIXED","some directives may be placed outside of proper context without causing an error","2010-10-29 10:53:16","P3","minor","AMIRK","http://http://httpd.apache.org/docs/mod/core.html#limitrequestbody etc","2.0-HEAD",
7764,"Apache httpd-2","support","bugs","CLOSED","FIXED","tmpnam is dangerous","2004-11-16 19:05:39","P3","minor","ranier",,"2.0.32",
7768,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","VirtualHost does not match when trailing dot included on hostname in 2.0","2004-11-16 19:05:39","P3","normal","evrim","http://www.packetfactory.net./","2.0.32",
7774,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","make install error / wrong link","2004-11-16 19:05:39","P3","normal","sebastian.wolfgarten","http://www.wolfgarten.com","2.0.32",
7786,"Apache httpd-2","Other Modules","bugs","CLOSED","FIXED","ScriptInterpreterSource with non-ASCII command path/filenames broken","2004-11-16 19:05:39","P3","normal","asiloti",,"2.0.39",
7790,"Apache httpd-2","Build","bugs","CLOSED","FIXED","Blank top_builddir prevents installation of APR","2004-11-16 19:05:39","P3","normal","sebastian.wolfgarten","http://www.wolfgarten.com","2.0.35",
7791,"Apache httpd-2","mod_suexec","bugs","CLOSED","FIXED","mod_suexec problem","2004-11-16 19:05:39","P3","normal","oles","http://ping.ovh.net/traceroute_1.3.24.cgi","2.0.35",
7792,"Apache httpd-2","All","bugs","CLOSED","INVALID","custom config.layout escaping","2004-11-16 19:05:39","P3","blocker","js",,"2.0-HEAD",
7795,"Apache httpd-2","mod_mime","bugs","CLOSED","FIXED","Support XHTML media type (RFC 3236) in default install","2004-11-16 19:05:39","P3","normal","dmh",,"2.0.35",
7798,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","apachectl stop leaves processes running on OpenBSD 3.0","2004-11-16 19:05:39","P3","normal","lippard",,"2.0.35",
7802,"Apache httpd-2","Other Modules","bugs","CLOSED","FIXED","mod_ssl - ssl_engine_kernel.c won't compile","2004-11-16 19:05:39","P3","normal","margol",,"2.0.35",
7803,"Apache httpd-2","Build","bugs","CLOSED","FIXED","make install root= from apache 1.3 doesn't work in 2.0.35","2004-11-16 19:05:39","P3","enhancement","matthew",,"2.0.35",
7804,"Apache httpd-2","mpm_perchild","bugs","CLOSED","WONTFIX","MPM perchild fail on start  (Unable to find process with matching uid/gid)","2004-12-23 15:05:13","P3","critical","maxes2",,"2.0.35",
7810,"Apache httpd-2","mod_suexec","bugs","CLOSED","FIXED","suexec + userdir non-functional in httpd 2.0.35 (possibly related to bug 7791)","2004-11-16 19:05:39","P3","critical","colmmacc",,"2.0.35",
7811,"Apache httpd-2","All","bugs","CLOSED","FIXED","cannot start apache 2.0.35 (or 2.0.32) with any IPv6 addresses on Solaris 8","2004-11-16 19:05:39","P3","blocker","carl",,"2.0.35",
7812,"Apache httpd-2","All","bugs","CLOSED","FIXED","Apache fails to start, log says: Invalid argument: Couldn't set permissions on cross-process lock","2004-11-16 19:05:39","P3","critical","ralf.hildebrandt",,"2.0.35",
7816,"Apache httpd-2","Build","bugs","CLOSED","INVALID","configure doesn't check for flex -P compatibility","2005-03-20 17:06:14","P3","minor","anon2k",,"2.0.35",
7818,"Apache httpd-2","Build","bugs","CLOSED","FIXED","Stale config.guess in tarball","2005-03-20 17:06:12","P3","normal","sctemme",,"2.0.35",
7820,"Apache httpd-2","mod_autoindex","bugs","CLOSED","FIXED","mod_autoindex extension to use style sheets","2004-11-16 19:05:39","P3","enhancement","binary_runner",,"2.0.32",
7821,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","Insufficient file descriptors available for mass vhosting","2004-11-16 19:05:39","P3","blocker","root","http://www.nk.ca","2.0.35",
7822,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","small index.html.pt-BR fixes","2004-11-16 19:05:39","P3","minor","andreas",,"2.0.35",
7823,"Apache httpd-2","All","bugs","CLOSED","WONTFIX","Libtool 1.3.4 in tarball","2004-11-16 19:05:39","P3","normal","sctemme",,"2.0.35",
7824,"Apache httpd-2","Build","bugs","CLOSED","FIXED","libtool in tarball doesn't work with MacOS X","2005-03-20 17:06:12","P3","normal","sctemme",,"2.0.35",
7832,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","missing colon in example","2004-11-16 19:05:39","P3","minor","sn","http://httpd.apache.org/docs-2.0/mod/mod_include.html","2.0.35",
7838,"Apache httpd-2","Core","bugs","CLOSED","INVALID","Apache leaves shared memory segments and dies after unclean shutdown","2004-11-16 19:05:39","P3","major","stas-apache",,"2.0.35",
7839,"Apache httpd-2","Build","bugs","CLOSED","DUPLICATE","failure to compile under solaris 8, gcc 2.95.3","2004-11-16 19:05:39","P3","major","david",,"2.0.35",
7840,"Apache httpd-2","support","bugs","CLOSED","FIXED","apachectl: wrong dir for the httpd binary","2004-11-16 19:05:39","P3","minor","andreas",,"2.0.35",
7841,"Apache httpd-2","All","bugs","CLOSED","FIXED","httpd.pid file placement in httpd-std.conf","2004-11-16 19:05:39","P3","minor","andreas",,"2.0.35",
7843,"Apache httpd-2","Runtime Config","bugs","CLOSED","WONTFIX","htdocs hardcoded in ssl-std.conf","2004-11-16 19:05:39","P3","minor","andreas",,"2.0.35",
7846,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","default index.html points to a wrong apache_pb.gif","2004-11-16 19:05:39","P3","minor","andreas",,"2.0.35",
7862,"Apache httpd-2","support","bugs","RESOLVED","FIXED","suexec never log a group name.","2008-05-12 19:26:18","P3","enhancement","y-koga",,"2.0-HEAD","FixedInTrunk"
7867,"Apache httpd-2","All","bugs","CLOSED","INVALID","pthread_attr_getdetachstate() not recognized on Solaris 8","2004-11-16 19:05:39","P3","minor","jgilbert",,"2.0.35",
7876,"Apache httpd-2","All","bugs","CLOSED","FIXED","configure for Solaris 5.7 fails","2007-02-17 08:11:52","P3","blocker","solomon",,"2.0.35",
7882,"Apache httpd-2","Build","bugs","CLOSED","FIXED","env LIBS ignored during build","2004-11-16 19:05:39","P3","normal","David.D.Hill",,"2.0.43","PatchAvailable"
7883,"Apache httpd-2","Build","bugs","CLOSED","INVALID","link errors compiling mod_access","2005-03-20 17:06:12","P3","major","grant7",,"2.0.35",
7888,"Apache httpd-2","Platform","bugs","CLOSED","INVALID","WinNT4 service requires explicit drive letter?","2005-03-20 17:06:12","P3","normal","pascal.barbedor",,"2.0.35",
7889,"Apache httpd-2","Build","bugs","CLOSED","WORKSFORME","pcre.c:2534: `pcre_default_tables' undeclared","2004-11-16 19:05:39","P3","critical","jawarren",,"2.0.35",
7896,"Apache httpd-2","All","bugs","CLOSED","INVALID","Report wrong port","2004-11-16 19:05:39","P3","normal","fdepujo",,"2.0.35",
7907,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","ssssssssssssssssssssss","2005-03-20 17:06:12","P3","normal","gharesh",,"2.0.32",
7908,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","asasasasasasasasas","2004-11-16 19:05:39","P3","normal","gharesh",,"2.0.32",
7910,"Apache httpd-2","Platform","bugs","CLOSED","FIXED","WSADuplicateSocket on starting the server","2005-03-20 17:06:12","P3","normal","rbund",,"2.0.35",
7920,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","mod_ssl can't compile under windows 20000","2005-03-20 17:06:12","P3","critical","egcs",,"2.0.35",
7921,"Apache httpd-2","All","bugs","CLOSED","WONTFIX","perchild: apr_proc_mutex_[un]lock failed...","2004-11-16 19:05:39","P3","major","foobar",,"2.0.35",
7930,"Apache httpd-2","Platform","bugs","CLOSED","FIXED","Minor Bug w/ Apache Monitor in Sys Tray (v. 2.0)","2004-11-16 19:05:39","P3","minor","michael",,"2.0.35",
7932,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","BSoD Attemping to Terminate Apache with ZoneAlarm Installed","2005-03-20 17:06:12","P3","blocker","x86zman",,"2.0.48","FAQ"
7941,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","Running Apache as a service under Windows 2k","2005-03-20 17:06:12","P3","critical","IceCreamMan",,"2.0.35",
7951,"Apache httpd-2","All","bugs","CLOSED","FIXED","logfiles have wrong timezone offset?","2004-11-16 19:05:39","P3","minor","jjb",,"2.0.35",
7956,"Apache httpd-2","Build","bugs","CLOSED","INVALID","redefinition of ""ap_hack_apr_xml_insert""","2004-11-16 19:05:39","P3","normal","monika.seehoefer",,"2.0.35",
7957,"Apache httpd-2","Other Modules","bugs","CLOSED","FIXED","AIX 4.3 64bit build fails","2004-11-16 19:05:39","P3","critical","paul.nylund",,"2.0.35",
7966,"Apache httpd-2","All","bugs","CLOSED","FIXED","Wrong Content-Length when SSI used as DirectoryIndex","2004-11-16 19:05:39","P3","normal","apache-bugzilla","http://www.nanvaent.org:81/","2.0.35",
7969,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","File docs/conf/mime.types does not contain image/vnd.djvu","2004-11-16 19:05:39","P3","normal","leonb","http://www.iana.org/assignments/media-types/image/","2.0.35",
7970,"Apache httpd-2","Build","bugs","CLOSED","DUPLICATE","Configure script does not pass arguments.","2005-03-20 17:06:12","P3","blocker","dr_mac",,"2.0.35",
7979,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","httpd not obeying sysconfdir","2004-11-16 19:05:39","P3","normal","jawarren",,"2.0.35",
7988,"Apache httpd-2","mod_include","bugs","CLOSED","WORKSFORME","Include variables not inherited correctly in mod_include","2004-11-16 19:05:39","P3","normal","paul","http://www.murph.org/photos/","2.0.35",
7990,"Apache httpd-2","mod_autoindex","bugs","CLOSED","FIXED","AddDescription fails for directories (mod_autoindex)","2004-11-16 19:05:39","P3","minor","paul","http://www.murph.org/photos/","2.0.35",
7991,"Apache httpd-2","mod_expires","bugs","CLOSED","FIXED","Enhance ExpiresByType to accept wildcards (mod_expires)","2004-11-16 19:05:39","P3","enhancement","paul",,"2.0.35","PatchAvailable"
7992,"Apache httpd-2","mod_suexec","bugs","CLOSED","DUPLICATE","Core dump when restarting daemon with mod_suexec","2004-11-16 19:05:39","P3","major","paul",,"2.0.35",
7994,"Apache httpd-2","All","bugs","CLOSED","INVALID","Apache 2.0.35 returns garbage in PHP4 CGI requests. *Not* PHP's fault.","2004-11-16 19:05:39","P3","normal","mot",,"2.0.35",
7997,"Apache httpd-2","All","bugs","CLOSED","INVALID","Apache won't run as service","2005-03-20 17:06:12","P3","normal","owen.watson",,"2.0.35",
7999,"Apache httpd-2","mod_autoindex","bugs","CLOSED","INVALID","IndexOptions FancyIndexing Fails on WinXP","2004-11-16 19:05:39","P3","normal","ritchey_49",,"2.0.35",
8000,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","Install documentation should mention flex requirement for mod_ssl","2012-02-21 16:07:23","P3","normal","jonabbey",,"2.0.35",
8004,"Apache httpd-2","mod_cgi","bugs","CLOSED","FIXED","CGI not working properly.","2004-11-16 19:05:39","P3","critical","admin",,"2.0.35",
8008,"Apache httpd-2","Build","bugs","CLOSED","WORKSFORME","Cannot build makefile.win with djgpp awk 3.0.6, use gnu 3.0.3 or bwk awk","2005-03-20 17:06:12","P3","major","pascal.barbedor","http://cm.bell-labs.com/cm/cs/who/bwk/awk95.exe","2.0.35","FAQ"
8009,"Apache httpd-2","mod_auth","bugs","CLOSED","FIXED","Short->Long path name expansion corrupts AuthUserFile directive","2005-03-20 17:06:12","P3","major","ronlane",,"2.0.35",
8010,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","cgi doesnt work in Apache 2.0.35 win32 (win2k)","2005-03-20 17:06:12","P3","normal","apachez",,"2.0.35",
8014,"Apache httpd-2","Core","bugs","CLOSED","FIXED","Apache cannot handle NTFS Junctions (Symlinks)","2005-03-20 17:06:12","P3","major","sam",,"2.0.44",
8015,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","--enable-info problem in configure","2004-11-16 19:05:39","P3","minor","alistair",,"2.0.35",
8016,"Apache httpd-2","mod_autoindex","bugs","CLOSED","FIXED","SuppressRules messes up directory listings.","2004-11-16 19:05:39","P3","normal","orders",,"2.0.35",
8027,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","Bug with DirectoryIndex ??","2004-11-16 19:05:39","P3","blocker","yannick",,"2.0.35",
8028,"Apache httpd-2","All","bugs","CLOSED","INVALID","Bug with PHP module ?","2004-11-16 19:05:39","P3","blocker","yannick",,"2.0.35",
8034,"Apache httpd-2","mod_ssl","bugs","CLOSED","WORKSFORME","undefined symbol: RSA_generate_key","2006-10-30 07:50:06","P3","normal","allen.chen",,"2.0.35",
8038,"Apache httpd-2","Other Modules","bugs","CLOSED","DUPLICATE","mod_status.so: symbol __floatdisf: referenced symbol not found","2004-11-16 19:05:39","P3","normal","jwoolley",,"2.0.35",
8045,"Apache httpd-2","All","bugs","CLOSED","FIXED","Apache 2.0.35 compile without mod_autoindex","2004-11-16 19:05:39","P3","major","me",,"2.0.35",
8046,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","php module wont work","2004-11-16 19:05:39","P3","critical","fredrik.olsen",,"2.0.35",
8055,"Apache httpd-2","mpm_winnt","bugs","CLOSED","FIXED","single listeners die and are not recoverable","2005-03-20 17:06:12","P3","normal","webmaster","http://www.uwth.uni-hannover.de","2.0.35",
8059,"Apache httpd-2","All","bugs","CLOSED","INVALID","PATH_INFO in URL not handled","2004-11-16 19:05:39","P3","blocker","loftee",,"2.0.35",
8061,"Apache httpd-2","Runtime Config","bugs","CLOSED","WONTFIX","Avoid reading some files when httpd.conf directory style is used.","2004-11-16 19:05:39","P3","enhancement","arekm",,"2.0.35",
8063,"Apache httpd-2","Build","bugs","CLOSED","INVALID","NetBSD 1.5.2 build failure with --enable-mods-shared=all","2004-11-16 19:05:39","P3","major","jnp",,"2.0.35",
8064,"Apache httpd-2","Build","bugs","CLOSED","INVALID","NetBSD 1.5.2 build failure with --enable-ssl","2004-11-16 19:05:39","P3","major","jnp",,"2.0.35",
8076,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","Copy-and-paste error on example for AddModule","2004-11-16 19:05:39","P3","minor","cesarb","http://httpd.apache.org/docs-2.0/mod/core.html","2.0-HEAD",
8090,"Apache httpd-2","Runtime Config","bugs","CLOSED","WORKSFORME","includedir not recognized in config.layout","2004-11-16 19:05:39","P3","minor","bugzilla",,"2.0.35",
8121,"Apache httpd-2","mod_mime","bugs","CLOSED","WONTFIX","Support OpenOffice.org media types in default install","2004-11-16 19:05:39","P3","enhancement","dmh","http://framework.openoffice.org/documentation/mimetypes/mimetypes.html","2.0.35",
8122,"Apache httpd-2","mod_ssl","bugs","CLOSED","FIXED","SSLMutex option settings not honoured","2004-11-16 19:05:39","P3","normal","martin.t.kutschker",,"2.0.35",
8124,"Apache httpd-2","mod_ssl","bugs","CLOSED","FIXED","mod_ssl fails to get and release semaphore mutex","2004-11-16 19:05:39","P3","normal","martin.t.kutschker",,"2.0.36",
8130,"Apache httpd-2","Core","bugs","CLOSED","DUPLICATE","Won't run on Solaris","2004-11-16 19:05:39","P3","major","js",,"2.0.35",
8141,"Apache httpd-2","mod_dir","bugs","CLOSED","DUPLICATE","Weird DirectoryIndex/XBitHack problem","2004-11-16 19:05:39","P3","normal","daniel","http://www.vorpalcloud.org:81","2.0.35",
8143,"Apache httpd-2","mod_rewrite","bugs","CLOSED","FIXED","RewriteLogLevel other than 0 prevents http request completion.","2004-11-16 19:05:39","P3","normal","rthomas-contrib",,"2.0.35",
8144,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","Runtime directive AddModule should be removed.","2004-11-16 19:05:39","P3","normal","rthomas-contrib",,"2.0.35",
8147,"Apache httpd-2","Other Modules","bugs","CLOSED","DUPLICATE","Apache Monitor for Windows","2004-11-16 19:05:39","P3","enhancement","chris",,"2.0.35",
8150,"Apache httpd-2","Build","bugs","CLOSED","FIXED","Unable to build on AIX 5.1 with gcc 2.95.3","2004-11-16 19:05:39","P1","major","richard.vandenzel",,"2.0.35",
8161,"Apache httpd-2","mpm_perchild","bugs","CLOSED","FIXED","perchild null pointer dereference","2004-11-16 19:05:39","P3","normal","foobar",,"2.0.35",
8164,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","httpd can't deal with whitespaces in directory names","2004-11-16 19:05:39","P3","critical","dh",,"2.0.35",
8165,"Apache httpd-2","mod_ssl","bugs","CLOSED","FIXED","weird: 100% cpu usage after a simple single ssl connection","2004-11-16 19:05:39","P3","normal","andreas",,"2.0.35",
8166,"Apache httpd-2","Build","bugs","CLOSED","INVALID","Compiling error","2004-11-16 19:05:39","P3","critical","aespinoza",,"2.0.35",
8167,"Apache httpd-2","Build","bugs","CLOSED","FIXED","--with-module does not build MODULE_DIRS correctly","2005-01-07 18:47:10","P3","minor","chrisd",,"2.0.36",
8170,"Apache httpd-2","Build","bugs","CLOSED","FIXED","LoadModule lines not modified when libexecdir changed","2004-11-16 19:05:39","P3","enhancement","michael",,"2.0.35",
8171,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","ScriptInterpreterSource registry won't work!","2004-11-16 19:05:39","P3","normal","redone",,"2.0.35",
8174,"Apache httpd-2","mod_proxy","bugs","CLOSED","FIXED","Using mod_proxy reverse proxy with mod_ssl causes hang","2004-11-16 19:05:39","P3","normal","georgeh",,"2.0.35",
8179,"Apache httpd-2","mod_cgi","bugs","CLOSED","FIXED","excessive error output from script makes Apache hang","2005-03-20 17:06:12","P3","normal","justdave",,"2.0.35",
8182,"Apache httpd-2","Core","bugs","CLOSED","DUPLICATE","""ScriptInterpreterSource registry"" is not working.","2005-03-20 17:06:12","P3","normal","hkdennis2k",,"2.0.35",
8184,"Apache httpd-2","mod_proxy","bugs","CLOSED","FIXED","Intermittent ""Bad Gateway"" on proxied requests.","2004-11-16 19:05:39","P3","normal","rthomas-contrib",,"2.0.35",
8185,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","Cannot start - nothing from cmd prompt - just error log","2004-11-16 19:05:39","P3","blocker","hardworker",,"2.0.35",
8186,"Apache httpd-2","mod_ssl","bugs","CLOSED","DUPLICATE","mod_ssl stops responding to requests","2004-11-16 19:05:39","P3","normal","thc",,"2.0-HEAD",
8197,"Apache httpd-2","Build","bugs","CLOSED","DUPLICATE","tmpnam ===> mkstemp","2004-11-16 19:05:39","P3","minor","foobar",,"2.0.35",
8198,"Apache httpd-2","mod_cgi","bugs","CLOSED","DUPLICATE","Error message: couldn't create child process: 22502:","2005-03-20 17:06:12","P3","minor","T.Nix","http://127.0.0.1/cgi-bin/env.pl","2.0.35",
8211,"Apache httpd-2","mod_include","bugs","CLOSED","FIXED","Need to get unbuffered output from SSI scripts in 2.0.x","2004-11-16 19:05:39","P3","normal","twb0",,"2.0.43",
8214,"Apache httpd-2","Build","bugs","CLOSED","FIXED","make fails on Solaris 9 with gcc (atomic/solaris_sparc/*.o not found)","2004-11-16 19:05:39","P3","normal","jmglov",,"2.0.35",
