"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Alias","Assignee Real Name","Hardware","Keywords","Number of Comments","Opened","OS","Priority","Reporter","Reporter Real Name","Severity","Version","Target Milestone","Tags","URL"
22,"Apache httpd-2","All","bugs","CLOSED","WONTFIX","Need hooks for user-defined error handling","2004-11-23 16:47:00",,"Apache HTTPD Bugs Mailing List","All",,2,"2001-01-09 15:53:58","All","P5","greenrd","Robin Green","enhancement","2.0-HEAD","---",,
7180,"Apache httpd-1.3","Documentation","docs","CLOSED","FIXED","Broken link in the documentation at mod/core.html","2004-11-16 19:05:38",,"HTTP Server Documentation List","Other",,2,"2002-03-17 12:26:58","other","P3","rineau+apachebugzilla","Laurent Rineau","normal","1.3.23","---",,"http://httpd.apache.org/docs/mod/core.html"
7195,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","FIXED","mod_proxy removes Set-cookie headers","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC","PatchAvailable",35,"2002-03-18 08:35:03","Linux","P3","siegfried.delwiche","Siegfried Delwiche","blocker","1.3.24","---",,
7234,"Apache httpd-1.3","Other mods","bugs","CLOSED","FIXED","RewriteMap broken","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-03-19 11:29:33","FreeBSD","P3","dard","Dard","normal","1.3.23","---",,
7252,"Apache httpd-1.3","Documentation","docs","CLOSED","FIXED","Should fopen() in this example really be ap_pfopen ()?","2004-11-16 19:05:38",,"HTTP Server Documentation List","All",,2,"2002-03-19 18:03:04","All","P3","bernard.l.dubreuil",,"minor","1.3.23","---",,"http://httpd.apache.org/docs/misc/API.html#resp_handlers"
7256,"Apache httpd-1.3","Other","bugs","CLOSED","WORKSFORME","Legibility issues with default colors for directory listings.","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-19 22:10:37","Linux","P3","george","George Moffitt","normal","1.3.23","---",,"http://georgebox.org/misc/apachebug.png"
7266,"Apache httpd-1.3","Other","bugs","CLOSED","INVALID","Log Files Corrupt: Strange ASCII Chars","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,3,"2002-03-20 07:57:39","All","P3","borkman","Steven Borkman","normal","1.3.23","---",,
7300,"Apache httpd-1.3","mod_autoindex","bugs","CLOSED","FIXED","ReadmeName & HeaderName","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,7,"2002-03-20 20:17:07","All","P5","nick","NickM","enhancement","HEAD","---",,
7310,"Apache httpd-1.3","Other mods","bugs","CLOSED","INVALID","Problems with PHP as module under Windows XP","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-21 08:04:01","Windows XP","P3","khoukaz",,"major","1.3.23","---",,
7362,"Apache httpd-1.3","Other mods","bugs","CLOSED","DUPLICATE","proxy module doesn't allow accurate cookie cheking","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-22 13:10:48","other","P3","s_i_lao",,"normal","1.3.23","---",,
7372,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","INVALID","Add ProxyCONNECTAllow directive","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-03-22 19:49:19","All","P3","david.coffin","David Coffin","enhancement","1.3.23","---",,"http://bugs.apache.org/index.cgi/full/10246"
7403,"Apache httpd-1.3","Other","bugs","CLOSED","INVALID","Should AcceptMutex default to sysvmem?","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-03-23 23:05:42","Linux","P3","seth","Seth Chaiklin","minor","1.3.23","---",,
7415,"Apache httpd-2","All","bugs","CLOSED","FIXED","VHOST parsing broken for IPv6","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-24 18:12:29","FreeBSD","P3","ncbp","Niels Chr. Bank-Pedersen","normal","2.0.32","---",,
7422,"Apache httpd-1.3","Build","bugs","CLOSED","FIXED","--with-layout=RedHat is not current","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Sun",,2,"2002-03-25 01:04:21","Linux","P3","bugzilla-apache",,"minor","1.3.24","---",,
7428,"Apache httpd-1.3","Build","bugs","CLOSED","WORKSFORME","configuration broken for  FreeBSD 2.2.2-RELEASE","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,2,"2002-03-25 04:13:43","FreeBSD","P3","phil","phil glatz","critical","1.3.24","---",,
7434,"Apache httpd-1.3","Other","bugs","CLOSED","INVALID","I can't open a html file from desktop, when the apache is open","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-25 09:19:18","All","P3","yangzhongcbh","cbh","normal","1.3.24","---",,
7441,"Apache httpd-2","Core","bugs","CLOSED","FIXED","RFC 2616 - Apache incorrectly expects a non-empty Host header","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,5,"2002-03-25 11:41:02","Linux","P3","dinesh.patel","Dinesh Patel","critical","2.0-HEAD","---",,
7454,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","DUPLICATE","Corruption of proxied content (chunking?)","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,5,"2002-03-25 17:51:52","other","P3","clefebvre","Christophe LEFEBVRE","major","1.3.24","---",,
7462,"Apache httpd-1.3","Other","bugs","CLOSED","WORKSFORME","log file filling up with errno=10014 (logfile grows to over 18 Gb in minutes)","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","Other",,3,"2002-03-25 20:23:03","All","P3","dbjerke","Daryl Bjerke","critical","1.3.23","---",,
7470,"Apache httpd-1.3","Build","bugs","CLOSED","WONTFIX","apachectl should read PIDFILE location from httpd.conf","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,3,"2002-03-26 02:45:48","All","P3","hlein","Hank Leininger","enhancement","1.3.24","---",,
