filepath,churn,num_commits,sloc,bugs,enhancements,blocker_sev_bugs,major_sev_bugs,minor_sev_bugs,critical_sev_bugs,normal_sev_bugs,trivial_sev_bugs,regressions,vulnerabilities
server/core.c,3593,165,4287,32,4,0,0,2,2,15,9,0,1
modules/mappers/mod_rewrite.c,1607,103,3746,31,5,0,1,3,0,14,8,0,2
modules/filters/mod_include.c,2425,44,3176,11,0,0,0,0,0,2,7,2,1
modules/dav/main/mod_dav.c,462,25,3143,8,2,0,3,0,0,3,0,0,1
modules/proxy/proxy_util.c,6613,181,2854,33,4,1,1,3,5,16,1,2,1
server/mpm/event/event.c,1932,55,2809,9,1,0,1,1,2,4,0,0,0
server/util.c,1540,56,2530,19,0,0,1,0,0,11,7,0,1
modules/lua/lua_request.c,931,36,2413,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy.c,2396,129,2392,15,6,0,1,1,0,6,0,1,1
modules/ssl/mod_ssl_ct.c,0,0,2300,0,0,0,0,0,0,0,0,0,0
modules/ldap/util_ldap.c,4484,108,2254,18,4,0,2,1,0,10,0,1,1
support/ab.c,1428,62,1984,22,3,0,1,1,1,14,2,0,0
modules/http2/h2_session.c,0,0,1884,0,0,0,0,0,0,0,0,0,0
server/config.c,1239,65,1823,15,0,0,3,1,0,11,0,0,1
modules/generators/mod_autoindex.c,448,34,1823,7,2,0,0,2,0,2,1,0,0
server/util_expr_scan.c,1125,11,1820,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_negotiation.c,124,19,1806,5,0,0,0,1,0,4,0,0,0
modules/lua/mod_lua.c,2146,35,1788,0,0,0,0,0,0,0,0,0,0
server/mpm/worker/worker.c,2023,83,1769,14,1,0,2,0,2,7,2,0,2
modules/metadata/mod_mime_magic.c,2258,18,1731,3,0,0,0,0,0,2,1,0,0
server/util_expr_eval.c,1907,44,1729,4,1,0,0,0,0,3,0,0,0
server/request.c,1173,65,1633,15,0,0,0,0,0,7,7,1,0
modules/cache/mod_cache.c,3529,103,1607,16,2,0,1,0,0,12,0,1,0
modules/ssl/ssl_engine_config.c,1353,67,1546,5,3,0,0,0,0,2,0,0,0
modules/aaa/mod_authnz_ldap.c,2400,57,1541,12,4,0,3,1,0,4,0,0,0
modules/ssl/ssl_engine_kernel.c,2491,88,1505,17,6,0,3,1,0,7,0,0,1
server/protocol.c,1830,69,1499,16,0,0,1,3,1,11,0,0,3
modules/proxy/mod_proxy_balancer.c,4579,137,1482,14,2,1,3,0,0,8,0,0,2
modules/proxy/mod_proxy_ftp.c,729,42,1473,6,1,0,0,0,1,4,0,0,4
modules/dav/fs/repos.c,506,26,1468,6,0,0,2,0,0,3,0,1,0
modules/ssl/ssl_engine_io.c,1347,50,1468,11,2,2,3,0,0,4,0,0,0
support/htcacheclean.c,1377,44,1458,8,1,0,0,0,0,0,7,0,0
support/win32/ApacheMonitor.c,1623,19,1435,1,0,0,0,0,0,1,0,0,0
server/log.c,1997,67,1428,3,1,0,0,1,0,1,0,0,0
server/util_expr_parse.c,2169,11,1423,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_http.c,2329,118,1417,35,4,4,3,1,4,17,1,1,4
modules/generators/mod_cgid.c,1578,57,1417,11,0,0,1,1,1,8,0,0,0
modules/ssl/ssl_engine_init.c,1511,71,1416,14,7,0,0,1,0,6,0,0,0
modules/loggers/mod_log_config.c,525,32,1402,5,2,0,0,0,1,2,0,0,1
modules/filters/mod_deflate.c,1491,63,1378,12,0,0,2,0,0,9,1,0,0
server/mpm/motorz/motorz.c,0,0,1326,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_digest.c,664,36,1315,4,0,0,1,0,0,3,0,0,0
modules/dav/main/util.c,269,10,1250,3,0,0,1,0,0,2,0,0,2
modules/http/http_protocol.c,214,30,1213,2,0,0,0,0,0,2,0,0,0
modules/cache/mod_cache_socache.c,0,0,1203,0,0,0,0,0,0,0,0,0,0
server/mpm/winnt/mpm_winnt.c,1434,60,1196,7,2,0,1,0,0,4,0,0,0
modules/http/http_filters.c,1871,84,1188,23,1,2,2,2,0,14,0,2,1
modules/arch/win32/mod_isapi.c,961,29,1183,8,0,0,4,1,1,2,0,0,1
modules/filters/mod_proxy_html.c,479,9,1171,0,0,0,0,0,0,0,0,0,0
modules/http2/h2_mplx.c,0,0,1157,0,0,0,0,0,0,0,0,0,0
modules/cache/mod_cache_disk.c,322,11,1134,2,0,0,0,0,0,2,0,0,0
modules/http2/h2_proxy_session.c,0,0,1121,0,0,0,0,0,0,0,0,0,0
modules/http2/h2_util.c,0,0,1118,0,0,0,0,0,0,0,0,0,0
server/mpm/prefork/prefork.c,1466,85,1117,12,1,0,0,0,4,7,0,0,1
modules/aaa/mod_authnz_fcgi.c,0,0,1054,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_engine_vars.c,718,40,1037,5,2,0,1,0,0,2,0,0,0
modules/proxy/mod_proxy_hcheck.c,0,0,996,0,0,0,0,0,0,0,0,0,0
server/mpm/netware/mpm_netware.c,430,28,981,2,1,0,0,0,0,0,1,0,0
modules/test/mod_policy.c,0,0,968,0,0,0,0,0,0,0,0,0,0
server/mpm/winnt/child.c,3270,56,959,4,0,0,2,0,0,2,0,0,0
modules/arch/netware/mod_nw_ssl.c,342,18,945,3,1,0,0,0,0,2,0,0,0
modules/dav/fs/lock.c,1339,9,939,8,0,0,0,0,0,1,7,0,0
modules/generators/mod_cgi.c,248,25,935,3,0,0,0,0,2,1,0,0,0
server/mpm/winnt/service.c,1465,27,931,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_form.c,401,25,920,2,1,0,0,0,0,1,0,0,0
modules/cache/cache_util.c,1561,54,872,8,1,1,1,0,0,5,0,0,1
modules/proxy/mod_serf.c,1575,23,866,1,0,0,0,0,0,1,0,0,0
server/apreq_util.c,0,0,858,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authz_core.c,2932,50,853,9,0,0,0,0,0,2,7,0,0
modules/generators/mod_info.c,343,25,844,2,0,0,0,1,0,1,0,0,1
modules/dav/main/mod_dav.h,175,12,835,1,0,0,0,0,0,1,0,0,0
server/vhost.c,460,21,834,3,0,0,0,1,0,2,0,0,0
modules/filters/sed0.c,24,2,833,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_status.c,443,32,806,4,1,0,0,0,0,1,2,0,2
modules/http/mod_mime.c,187,14,804,13,1,0,0,1,0,3,8,0,0
server/listen.c,273,25,802,1,0,0,0,1,0,0,0,0,0
CMakeLists.txt,0,0,793,0,0,0,0,0,0,0,0,0,0
modules/filters/sed1.c,179,5,792,1,0,0,0,0,0,1,0,0,0
modules/http2/h2_push.c,0,0,784,0,0,0,0,0,0,0,0,0,0
server/util_filter.c,198,20,783,1,0,0,0,0,0,1,0,0,0
modules/dav/lock/locks.c,45,5,782,7,0,0,0,0,0,0,7,0,0
server/mpm_unix.c,153,17,780,5,1,0,0,0,0,4,0,0,0
modules/filters/mod_charset_lite.c,605,27,780,4,1,0,0,0,0,3,0,0,0
modules/cache/mod_socache_shmcb.c,832,31,759,1,0,0,0,0,1,0,0,0,0
server/apreq_module_cgi.c,0,0,750,0,0,0,0,0,0,0,0,0,0
include/httpd.h,1301,78,749,15,1,0,1,1,0,11,1,0,1
modules/cluster/mod_heartmonitor.c,1272,55,743,1,0,0,0,0,0,1,0,0,0
modules/metadata/mod_headers.c,481,31,739,6,1,0,2,1,1,1,0,0,0
modules/database/mod_dbd.c,2263,46,738,2,1,0,0,0,0,0,0,1,0
modules/filters/mod_ext_filter.c,317,17,718,3,0,1,0,0,0,2,0,0,0
modules/proxy/mod_proxy_fcgi.c,401,26,708,2,0,0,0,1,0,1,0,0,0
acinclude.m4,1154,40,694,3,0,0,0,0,0,3,0,0,0
modules/ldap/util_ldap_cache_mgr.c,264,18,689,4,2,0,0,0,0,2,0,0,0
server/util_script.c,818,40,673,6,1,0,0,0,0,4,0,1,0
modules/ssl/ssl_private.h,1219,80,668,10,4,0,2,1,0,3,0,0,0
modules/ssl/ssl_util_stapling.c,268,17,662,1,0,0,0,0,0,1,0,0,0
modules/proxy/ajp_header.c,594,33,654,3,0,0,1,0,0,2,0,0,0
modules/ssl/ssl_ct_util.c,0,0,649,0,0,0,0,0,0,0,0,0,0
modules/slotmem/mod_slotmem_shm.c,972,40,645,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy.h,1563,122,630,13,4,0,1,1,2,4,0,1,0
modules/mappers/mod_imagemap.c,325,12,624,1,0,0,0,0,0,0,1,0,2
modules/filters/mod_filter.c,680,33,618,5,1,0,0,0,0,4,0,0,0
modules/dav/main/props.c,27,4,614,0,0,0,0,0,0,0,0,0,0
server/main.c,709,63,612,7,1,0,0,2,0,4,0,0,1
modules/core/mod_macro.c,0,0,605,0,0,0,0,0,0,0,0,0,0
support/rotatelogs.c,1756,36,600,6,3,0,0,1,0,2,0,0,0
modules/lua/lua_dbd.c,0,0,593,0,0,0,0,0,0,0,0,0,0
support/firehose.c,0,0,583,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_ajp.c,1453,62,570,7,0,0,1,0,1,5,0,0,3
modules/http2/h2_h2.c,0,0,552,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_alias.c,318,18,534,5,1,0,0,2,0,2,0,0,0
modules/examples/mod_example_hooks.c,396,11,532,0,0,0,0,0,0,0,0,0,0
server/core_filters.c,1532,46,528,1,0,0,0,0,0,1,0,0,0
modules/core/mod_watchdog.c,228,13,523,0,0,0,0,0,0,0,0,0,0
modules/http2/h2_stream.c,0,0,521,0,0,0,0,0,0,0,0,0,0
os/win32/ap_regkey.c,132,5,521,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_xml2enc.c,85,2,514,0,0,0,0,0,0,0,0,0,0
server/scoreboard.c,439,37,510,6,0,0,0,2,0,4,0,0,2
modules/http/http_request.c,449,38,497,4,0,0,1,1,0,2,0,0,0
modules/filters/mod_substitute.c,554,19,496,2,0,1,0,0,0,1,0,0,0
modules/proxy/mod_proxy_scgi.c,95,12,493,0,0,0,0,0,0,0,0,0,0
server/apreq_parser_multipart.c,0,0,492,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_reqtimeout.c,801,31,492,1,0,0,0,0,0,1,0,0,1
modules/http2/h2_config.c,0,0,490,0,0,0,0,0,0,0,0,0,0
modules/http2/mod_proxy_http2.c,0,0,487,0,0,0,0,0,0,0,0,0,0
server/mpm_common.c,1933,66,485,3,1,0,1,0,0,1,0,0,1
modules/filters/regexp.c,24,3,485,0,0,0,0,0,0,0,0,0,0
modules/debugging/mod_firehose.c,0,0,484,0,0,0,0,0,0,0,0,0,0
modules/ssl/mod_ssl.c,474,46,483,6,3,0,1,0,0,2,0,0,0
modules/dav/fs/dbm.c,56,11,478,0,0,0,0,0,0,0,0,0,0
modules/session/mod_session_crypto.c,1592,30,474,0,0,0,0,0,0,0,0,0,0
